"","Gene_name","EntrezID"
"247","Jarid2","16468"
"248","Jdp2","81703"
"249","Jun","16476"
"250","Jund","16478"
"251","Jup","16480"
"252","Kat2a","14534"
"253","Kat5","81601"
"254","Kcnip3","56461"
"255","Kctd1","106931"
"256","Kdm3a","104263"
"257","Kdm5b","75605"
"258","Klf1","16596"
"259","Klf11","194655"
"260","Klf13","50794"
"261","Klf15","66277"
"262","Klf2","16598"
"263","Klf4","16600"
"264","Klf5","12224"
"265","Klf6","23849"
"266","Klf7","93691"
"267","Kmt5a","67956"
"268","Ldb1","16825"
"269","Ldb2","16826"
"270","Lef1","16842"
"271","Lhx1","16869"
"272","Lhx2","16870"
"273","Lhx5","16873"
"274","Lmo2","16909"
"275","Lmx1a","110648"
"276","Loxl2","94352"
"277","Lpin1","14245"
"278","Lpin2","64898"
"279","Lyl1","17095"
"280","Mafb","16658"
"281","Mafg","17134"
"282","Maml1","103806"
"283","Maml3","433586"
"284","Map3k10","269881"
"285","Max","17187"
"286","Maz","17188"
"287","Mecom","14013"
"288","Mecp2","17257"
"289","Med1","19014"
"290","Med10","28077"
"291","Med11","66172"
"292","Med13","327987"
"293","Med13l","76199"
"294","Med14","26896"
"295","Med17","234959"
"296","Med19","381379"
"297","Med22","20933"
"298","Med24","23989"
"299","Med26","70625"
"300","Med27","68975"
"301","Med30","69790"
"302","Med31","67279"
"303","Med4","67381"
"304","Med6","69792"
"305","Med7","66213"
"306","Med8","80509"
"307","Mef2a","17258"
"308","Meis1","17268"
"309","Meis3","17537"
"310","Meox1","17285"
"311","Meox2","17286"
"312","Mesp1","17292"
"313","Mesp2","17293"
"314","Mixl1","27217"
"315","Mlxip","208104"
"316","Mnt","17428"
"317","Mrtfa","223701"
"318","Mrtfb","239719"
"319","Msx1","17701"
"320","Msx2","17702"
"321","Msx3","17703"
"322","Mta1","116870"
"323","Mta2","23942"
"324","Mta3","116871"
"325","Mtdh","67154"
"326","Mtf1","17764"
"327","Mybbp1a","18432"
"328","Mybl2","17865"
"329","Myc","17869"
"330","Mycbp","56309"
"331","Mycn","18109"
"332","Mysm1","320713"
"333","N4bp2l2","381695"
"334","Naca","17938"
"335","Ncoa1","17977"
"336","Ncoa2","17978"
"337","Ncoa3","17979"
"338","Ncoa6","56406"
"339","Ncoa7","211329"
"340","Ncor1","20185"
"341","Ncor2","20602"
"342","Ndn","17984"
"343","Neurog1","18014"
"344","Nfat5","54446"
"345","Nfatc3","18021"
"346","Nfatc4","73181"
"347","Nfe2","18022"
"348","Nfe2l1","18023"
"349","Nfe2l2","18024"
"350","Nfic","18029"
"351","Nfil3","18030"
"352","Nfkb1","18033"
"353","Nfya","18044"
"354","Nfyb","18045"
"355","Nfyc","18046"
"356","Nkx2-5","18091"
"357","Nkx2-9","18094"
"358","Nkx6-1","18096"
"359","Nkx6-2","14912"
"360","Noto","384452"
"361","Npat","244879"
"362","Npm1","18148"
"363","Nr1h2","22260"
"364","Nr2f1","13865"
"365","Nr2f2","11819"
"366","Nr2f6","13864"
"367","Nr6a1","14536"
"368","Nrbf2","641340"
"369","Nrf1","18181"
"370","Nrip1","268903"
"371","Nucks1","98415"
"372","Olig2","50913"
"373","Otx1","18423"
"374","Otx2","18424"
"375","Pax3","18505"
"376","Pax6","18508"
"377","Pax8","18510"
"378","Pbx2","18515"
"379","Pbx4","80720"
"380","Pdlim1","54132"
"381","Per1","18626"
"382","Pex14","56273"
"383","Phb","18673"
"384","Phf12","268448"
"385","Phf2","18676"
"386","Phf21a","192285"
"387","Pias1","56469"
"388","Pir","69656"
"389","Pitx1","18740"
"390","Pitx2","18741"
"391","Pknox1","18771"
"392","Pknox2","208076"
"393","Plagl2","54711"
"394","Plscr1","22038"
"395","Pmf1","67037"
"396","Pml","18854"
"397","Pou3f1","18991"
"398","Pou3f3","18993"
"399","Pou5f1","18999"
"400","Ppard","19015"
"401","Prdm1","12142"
"402","Prdm14","383491"
"403","Prdm15","114604"
"404","Prdm5","70779"
"405","Prpf6","68879"
"406","Prrx1","18933"
"407","Prrx2","20204"
"408","Psip1","101739"
"409","Psmc3ip","19183"
"410","Psmd9","67151"
"411","Ptpn14","19250"
"412","Pura","19290"
"413","Purb","19291"
"414","Pus1","56361"
"415","Rad21","19357"
"416","Rad54l2","81000"
"417","Rap2c","72065"
"418","Rara","19401"
"419","Rarb","218772"
"420","Rarg","19411"
"421","Rbbp8","225182"
"422","Rcor1","217864"
"423","Rcor2","104383"
"424","Rela","19697"
"425","Rere","68703"
"426","Rest","19712"
"427","Rfx1","19724"
"428","Rfx2","19725"
"429","Rfx3","19726"
"430","Rfx4","71137"
"431","Rfx7","319758"
"432","Rfxank","19727"
"433","Riox2","67014"
"434","Rnf157","217340"
"435","Rnf20","109331"
"436","Rreb1","68750"
"437","Runx1t1","12395"
"438","Rxra","20181"
"439","Rxrb","20182"
"440","Sall1","58198"
"441","Sall2","50524"
"442","Sall3","20689"
"443","Sall4","99377"
"444","Sap130","269003"
"445","Sap30","60406"
"446","Satb1","20230"
"447","Sertad2","58172"
"448","Sin3a","20466"
"449","Sin3b","20467"
"450","Sirt1","93759"
"451","Sirt6","50721"
"452","Six1","20471"
"453","Six2","20472"
"454","Six3","20473"
"455","Six5","20475"
"456","Six6","20476"
"457","Ski","20481"
"458","Skil","20482"
"459","Slc30a9","109108"
"460","Smad1","17125"
"461","Smad2","17126"
"462","Smad4","17128"
"463","Smad5","17129"
"464","Smad6","17130"
"465","Smad7","17131"
"466","Smarca2","67155"
"467","Smarca4","20586"
"468","Smarcb1","20587"
"469","Smarcd3","66993"
"470","Snai1","20613"
"471","Snai2","20583"
"472","Snapc5","330959"
"473","Snw1","66354"
"474","Sox1","20664"
"475","Sox10","20665"
"476","Sox11","20666"
"477","Sox12","20667"
"478","Sox17","20671"
"479","Sox18","20672"
"480","Sox2","20674"
"481","Sox3","20675"
"482","Sox4","20677"
"483","Sox6","20679"
"484","Sox9","20682"
"485","Sp1","20683"
"486","Sp2","78912"
"487","Sp3","20687"
"488","Sp4","20688"
"489","Sp5","64406"
"490","Sp8","320145"
"491","Sqstm1","18412"
"492","Sra1","24068"
"493","Srebf2","20788"
"494","Srf","20807"
"495","Ss18","268996"
"496","Ss18l1","269397"
"497","Stag1","20842"
"498","Stat1","20846"
"499","Stat2","20847"
"500","Stat3","20848"
"501","Strn3","94186"
"502","Sub1","20024"
"503","Supt7l","72195"
"504","Tada2a","217031"
"505","Tada3","101206"
"506","Taf1","270627"
"507","Taf10","24075"
"508","Taf11","68776"
"509","Taf12","66464"
"510","Taf13","99730"
"511","Taf2","319944"
"512","Taf4","228980"
"513","Taf5","226182"
"514","Taf5l","102162"
"515","Taf7","24074"
"516","Taf9","108143"
"517","Tal1","21349"
"518","Tal2","21350"
"519","Tardbp","230908"
"520","Tbl1x","21372"
"521","Tbl1xr1","81004"
"522","Tbp","21374"
"523","Tbx1","21380"
"524","Tbx2","21385"
"525","Tbx3","21386"
"526","Tbx4","21387"
"527","Tbx5","21388"
"528","Tbx6","21389"
"529","Tcerg1","56070"
"530","Tcf12","21406"
"531","Tcf15","21407"
"532","Tcf20","21411"
"533","Tcf21","21412"
"534","Tcf3","21423"
"535","Tcf4","21413"
"536","Tcf7","21414"
"537","Tcf7l1","21415"
"538","Tcf7l2","21416"
"539","Tdg","21665"
"540","Tdrd3","219249"
"541","Tead1","21676"
"542","Tead2","21677"
"543","Tead3","21678"
"544","Tef","21685"
"545","Tfam","21780"
"546","Tfap2a","21418"
"547","Tfap2c","21420"
"548","Tfdp1","21781"
"549","Tfdp2","211586"
"550","Tgfb1i1","21804"
"551","Tgif1","21815"
"552","Thra","21833"
"553","Thrap3","230753"
"554","Tle5","14797"
"555","Tob1","22057"
"556","Trim24","21848"
"557","Trip4","56404"
"558","Trrap","100683"
"559","Tsg101","22088"
"560","Twist1","22160"
"561","Twist2","13345"
